state,iter,param.sample,param.label_column,param.test_size,param.model_pkg_class,output.accuracy,output.test-error,output.auc-micro,output.auc-weighted,output.f1-score,output.precision_score,output.recall_score
completed,1,-1,label,0.1,sklearn.ensemble.RandomForestClassifier,0.9411764705882353,0.058823529411764705,0.9961072664359862,0.9949732620320856,0.9351851851851851,0.9351851851851851,0.9351851851851851
completed,2,-1,label,0.1,sklearn.linear_model.LogisticRegression,0.9705882352941176,0.029411764705882353,0.9961072664359862,0.9949732620320856,0.9679633867276888,0.9666666666666667,0.9722222222222222
completed,3,-1,label,0.1,sklearn.ensemble.AdaBoostClassifier,0.9411764705882353,0.058823529411764705,0.9969723183391003,0.993716577540107,0.9351851851851851,0.9351851851851851,0.9351851851851851
